Date,Stock,Open,High,Low,Close,Volume,Change Percent,Volume Type,Outcome
7/14/2015,20MICRONS,31.0,31.45,30.55,30.75,44436.0,0.16,LOW,invalid
8/13/2015,20MICRONS,28.3,28.95,27.2,27.6,63348.0,-2.13,LOW,
8/14/2015,20MICRONS,28.4,28.8,27.25,27.75,41699.0,0.54,LOW,
9/7/2015,20MICRONS,25.95,26.15,24.9,25.1,29188.0,-1.76,LOW,wonderful
