Date,Stock,Open,High,Low,Close,Volume,Change Percent,Volume Type,Outcome
16/8/2015,20MICRONS,32.35,33.95,32.0,33.35,153588.0,3.09,LOW,PROFIT
invalid,20MICRONS,32.25,32.5,31.55,31.95,33551.0,-0.93,LOW,LOSS
7/32/2015,20MICRONS,29.1,29.35,28.5,28.8,37312.0,-1.03,LOW,LOSS
8/31/2215,20MICRONS,26.4,26.5,25.5,26.25,24392.0,0.57,LOW,PROFIT
