Date,Stock,Open,High,Low,Close,Volume,Change Percent,Volume Type,Outcome
7/1/2015,20MICRONS,33.0,33.35,31.8,31.95,29363.0,-2.743821,LOW,LOSS
7/7/2015,20MICRONS,32.0,32.9,31.75,32.0,45904.0,0.4747852,LOW,PROFIT
